,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,2018
0,6906869,2359266,2988938,1856855,1151274,-888888888,5338778,6997384,2637669,2637669,278403.0,278403.0,2359266,2359266.0,2359266.0,936531,392773,549794,937674,568938,134092,15237005,31989.0,735625.0,1045481.0,1235809.0,948842.0,541509.0,463517102.0
1,344571,136769,129487,73847,90554,-888888888,287303,352823,165837,165837,29068.0,29068.0,136769,136769.0,136769.0,37022,12580,45175,77584,21031,7359,1009955,24217.0,27456.0,89251.0,74345.0,32033.0,23271.0,15042987.0
2,450216,185056,182436,102489,97023,-888888888,373428,462693,200798,200798,15742.0,15742.0,185056,185056.0,185056.0,60054,16655,35862,90878,45049,9527,1278821,31237.0,31589.0,70028.0,89217.0,80615.0,48189.0,25402021.0
3,147962,50354,58525,46869,26407,-888888888,106823,149051,54807,54807,4453.0,4453.0,50354,50354.0,50354.0,15215,3920,10432,15686,12686,11281,379833,26710.0,6915.0,24300.0,31520.0,18448.0,8351.0,6873624.0
4,2004301,783345,826093,505065,400236,-888888888,1599212,2048428,867509,867509,84164.0,84164.0,783345,783345.0,783345.0,276374,89169,230199,332329,158981,41757,5396570,32217.0,142586.0,376270.0,370031.0,309149.0,169279.0,123441866.0
5,128115,52335,55252,32879,27190,-888888888,103159,132532,57268,57268,35586.901162790695,4933.0,52335,52335.0,52335.0,22375,4802,13041,28578,8237,1468,321766,23478.0,11324.0,32268.0,20905.0,13699.0,7436.0,4769861.0
6,175559,71145,68992,43561,38426,-888888888,140076,178902,76587,76587,35586.901162790695,5442.0,71145,71145.0,71145.0,24766,5798,19923,35777,10991,3291,464639,25414.0,14967.0,43113.0,35363.0,18974.0,7562.0,7089459.0
7,164989,52851,60833,36038,42264,-888888888,134688,167295,73889,73889,21038.0,21038.0,52851,52851.0,52851.0,19098,13082,19746,26287,7593,3455,330768,32292.0,9082.0,38395.0,36856.0,22769.0,12458.0,9239666.0
8,89058,40250,54183,15467,21448,-888888888,89103,102793,43883,43883,35586.901162790695,3633.0,40250,40250.0,40250.0,17774,7230,10064,15449,7473,2402,261652,29222.0,3735.0,11508.0,13481.0,12578.0,18457.0,5530432.0
9,148980,62598,59114,33802,39566,-888888888,129716,158823,69696,69696,7098.0,7098.0,62598,62598.0,62598.0,17231,5478,17214,32124,10932,2195,419690,25666.0,10525.0,38174.0,39113.0,15362.0,7954.0,5610800.0
10,559360,210166,241317,137685,119252,-888888888,462538,583080,245769,245769,35603.0,35603.0,210166,210166.0,210166.0,67755,15364,55741,121572,43099,7620,1422673,27139.0,40509.0,96041.0,124828.0,76016.0,50205.0,24597375.0
11,123838,50548,48641,29085,31958,-888888888,103648,129209,56960,56960,6412.0,6412.0,50548,50548.0,50548.0,18858,4011,14372,26774,9718,1714,343251,26883.0,10678.0,29406.0,26940.0,12672.0,7150.0,7710601.0
12,1505541,575423,598424,343953,336973,-888888888,1229647,1534701,655462,655462,80039.0,80039.0,575423,575423.0,575423.0,210111,57695,142706,295010,126545,25706,3846163,30777.0,98837.0,295990.0,330635.0,214643.0,121299.0,73616490.0
13,177272,66834,103860,48419,24911,-888888888,152605,197683,80259,80259,13425.0,13425.0,66834,66834.0,66834.0,31017,4635,18962,40803,13740,1851,459429,24729.0,10227.0,31625.0,39354.0,17464.0,7900.0,8073168.0
14,158918,64632,60859,37426,37580,-888888888,130594,163129,69235,69235,35586.901162790695,4603.0,64632,64632.0,64632.0,22124,6335,18914,31422,8680,2875,411672,30003.0,9694.0,41231.0,35529.0,15972.0,8523.0,6684674.0
15,139679,57053,59112,32597,34816,-888888888,121777,150243,65775,65775,8722.0,8722.0,57053,57053.0,292610.1221590909,16491,4792,15105,30894,10402,3988,424786,31217.0,9915.0,35200.0,28653.0,19709.0,10106.0,7021036.0
16,196885,85430,75262,38390,54191,-888888888,169914,203921,98498,98498,13068.0,13068.0,85430,85430.0,85430.0,30053,8946,28220,43570,12831,3067,562634,24528.0,18278.0,45089.0,41684.0,23179.0,16601.0,6788712.0
17,125244,56483,44156,25226,40498,-888888888,109575,131730,66035,66035,9552.0,9552.0,56483,56483.0,292610.1221590909,14562,3215,17045,33519,9094,2244,420029,24924.0,7425.0,42555.0,24408.0,13530.0,6679.0,4486016.0
18,160929,61527,74341,41347,36425,-888888888,136605,174006,72105,72105,10578.0,10578.0,61527,61527.0,61527.0,23049,6117,18946,36268,8600,1249,399234,26517.0,13839.0,33914.0,34148.0,18266.0,8609.0,6621461.0
19,290465,109531,110105,52266,82656,-888888888,249121,292919,147422,147422,37891.0,37891.0,109531,109531.0,109531.0,40810,5815,33333,87895,16892,2093,720898,29135.57329842932,57111.227154046996,127065.88250652741,142409.48302872063,105728.45953002611,67472.06788511749,43366184.85564304
20,687406,287044,271000,142730,175573,-888888888,580989,704845,315526,315526,28482.0,28482.0,287044,287044.0,287044.0,92008,28709,77749,136407,58048,10759,1971623,30780.0,38144.0,144629.0,143573.0,99244.0,62921.0,32864318.0
21,145234,56348,61367,36012,32501,-888888888,118813,151158,66724,66724,10376.0,10376.0,56348,56348.0,56348.0,26535,4210,16341,34809,9128,1153,379803,24305.0,16505.0,30894.0,30936.0,10012.0,7503.0,5461823.0
22,124602,48464,47779,27940,32079,-888888888,102520,127335,50891,50891,35586.901162790695,2427.0,48464,48464.0,48464.0,17603,4103,12207,24698,7393,977,290099,26684.0,10977.0,25054.0,33730.0,12876.0,6496.0,4548841.0
23,853077,353746,350342,172542,212581,-888888888,732924,883169,410484,410484,56738.0,56738.0,353746,353746.0,353746.0,129566,49583,108914,156686,72234,16055,2427527,35770.0,45629.0,156874.0,175362.0,122052.0,108281.0,55124291.0
24,903338,358493,363784,202410,212437,-888888888,739062,916791,391088,391088,32595.0,32595.0,358493,358493.0,358493.0,127338,35081,86900,183389,63577,9455,2230222,27080.0,73325.0,154685.0,197781.0,116135.0,91823.0,38477142.0
25,145834,55127,59643,36786,34255,-888888888,120480,153044,67823,67823,12696.0,12696.0,55127,55127.0,55127.0,20332,5413,14771,34759,10283,2071,383105,25375.0,13864.0,43060.0,27153.0,12636.0,6633.0,5534140.0
26,818723,320501,312076,177160,209058,-888888888,687174,842913,350538,350538,30037.0,30037.0,320501,320501.0,320501.0,98674,36126,73323,147755,71203,15582,2198088,31287.0,56919.0,204774.0,152773.0,107637.0,65521.0,40543564.0
