,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
2,"Abilene, TX Metro Area",171795,72052,72052,10302,10302,61750,61750,61750,24309,7823,18617,33259,9779,994,392680,26622,10996,35113,36815,17779,8521,10180
4,"Aguadilla-Isabela, PR Metro Area",288877,146411,146411,44843,44843,101568,101568,101568,32897,4170,32996,90527,14068,2337,711513,,,,,,,10380
5,"Akron, OH Metro Area",703479,316217,316217,30570,30570,285647,285647,285647,96799,31557,80301,128543,60066,11383,1956297,30842,37410,157491,138951,98114,57275,10420
7,"Albany, GA Metro Area",147384,66066,66066,11938,11938,54128,54128,54128,25108,4366,18290,31727,9588,1167,377460,24115,16748,28351,32968,9354,9765,10500
8,"Albany-Lebanon, OR Metro Area",129749,51391,51391,1984,,49407,49407,49407,16114,4017,13542,23893,6694,1994,286255,30608,11121,24269,38274,11093,5969,10540
9,"Albany-Schenectady-Troy, NY Metro Area",880381,412316,412316,49814,49814,362502,362502,362502,129886,49219,115193,147539,76377,18014,2457566,37442,46007,155441,170380,134620,108143,10580
11,"Albuquerque, NM Metro Area",914480,393075,393075,38716,38716,354359,354359,354359,114334,37589,90249,176902,66209,10637,2230145,29861,68124,159577,196709,117647,93545,10740
12,"Alexandria, LA Metro Area",152037,68222,68222,12631,12631,55591,55591,55591,18682,3996,17941,33508,10780,1790,380488,26713,14846,39044,30060,12427,5391,10780
13,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",844052,351530,351530,29229,29229,322301,322301,322301,105481,32784,74967,154071,67847,15450,2202810,32273,54074,209837,152582,113677,62143,10900
14,"Altoona, PA Metro Area",121829,57025,57025,4528,4528,52497,52497,,15409,4268,14272,28021,7802,1776,356621,29501,7394,38805,21457,13087,7258,11020
15,"Amarillo, TX Metro Area",269447,110895,110895,12289,,98606,98606,98606,34958,12324,24202,56121,12564,3303,616843,29453,23557,48494,57416,29445,14153,11100
16,"Ames, IA Metro Area",123351,53393,53393,,3140,50253,50253,50253,19454,5178,15070,20418,10323,1502,318830,30115,2391,15263,23368,19355,13617,11180
17,"Anchorage, AK Metro Area",396317,161406,161406,23472,23472,137934,137934,137934,48764,18774,40348,61182,27002,5937,859751,36760,13591,71591,89367,54360,31977,11260
18,"Ann Arbor, MI Metro Area",367601,152272,152272,10592,10592,141680,141680,141680,53148,18618,40328,51196,30752,9091,925915,36442,10904,33141,58757,60153,69970,11460
19,"Anniston-Oxford, AL Metro Area",113605,53809,53809,,9173,44636,44636,44636,13157,2541,13652,26795,8733,1530,324409,24513,12195,27277,24355,9082,6175,11500
20,"Appleton, WI Metro Area",237974,99335,99335,4398,4398,94937,94937,94937,25643,6980,22715,45900,18161,4537,623570,36184,9008,51842,53380,34856,14443,11540
21,"Arecibo, PR Metro Area",174606,83039,83039,17831,17831,65208,65208,,20665,2786,18434,50873,9329,838,410014,,,,,,,11640
22,"Asheville, NC Metro Area",462680,234312,234312,40861,40861,193451,193451,193451,62696,15395,71541,106800,25898,6248,1361360,29588,30578,85503,107363,76096,47083,11700
26,"Athens-Clarke County, GA Metro Area",212706,88056,88056,5401,5401,82655,82655,82655,39974,8493,24596,33695,15930,4377,529222,24374,13252,28718,32064,27480,27091,12020
27,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6018744,2364761,2364761,175467,175467,2189294,2189294,2189294,782172,215309,459156,877913,529063,244242,15246399,35603,403834,939218,1073316,995590,608746,12060
28,"Atlantic City-Hammonton, NJ Metro Area",263670,128951,128951,26976,26976,101975,101975,101975,34316,14246,35497,47373,22570,6611,761059,31407,22710,62031,46970,35053,16728,12100
30,"Auburn-Opelika, AL Metro Area",164542,71228,71228,6780,6780,64448,64448,64448,21086,6073,14539,31542,11950,4182,426250,27057,8141,22314,28916,21276,20679,12220
31,"Augusta-Richmond County, GA-SC Metro Area",610648,262287,262287,50318,50318,211969,211969,211969,66036,14260,59290,118659,52861,14804,1625268,27569,44445,126515,128391,72878,40213,12260
33,"Austin-Round Rock-Georgetown, TX Metro Area",2227083,882659,882659,64575,64575,818084,818084,818084,346604,141906,187493,324433,167661,34991,4776313,40056,144966,290121,376661,445551,250408,12420
34,"Bakersfield, CA Metro Area",900202,302927,302927,30039,30039,272888,272888,272888,112496,21469,74239,135915,55747,8047,1600849,25283,130580,155083,171997,64784,29512,12540
35,"Baltimore-Columbia-Towson, MD Metro Area",2800053,1169780,1169780,106879,106879,1062901,1062901,1062901,357247,120055,267332,447473,234622,76725,7588664,41340,163020,476832,491359,448825,366794,12580
36,"Bangor, ME Metro Area",152148,76369,76369,,12273,64096,64096,64096,19400,8833,21926,29838,9210,2484,419108,28414,7639,35889,33606,21261,10896,12620
37,"Barnstable Town, MA Metro Area",212990,164686,164686,68177,68177,96509,96509,96509,19311,13347,40887,71839,28135,7934,967698,41517,5836,33904,48836,43969,35017,12700
38,"Baton Rouge, LA Metro Area",854884,372293,372293,66852,66852,305441,305441,305441,92555,33891,75754,186143,59908,9509,2102885,30721,69092,183416,156158,103377,51851,12940
39,"Battle Creek, MI Metro Area",134159,60915,60915,7088,7088,53827,53827,53827,14419,6564,16604,27728,7468,2142,364559,28152,8614,34462,30091,12104,6469,12980
40,"Bay City, MI Metro Area",103126,48365,48365,3478,3478,44887,44887,,11556,4907,11305,23282,6601,1707,291099,29935,5296,25717,27727,11105,5072,13020
41,"Beaumont-Port Arthur, TX Metro Area",392563,172905,172905,30770,30770,142135,142135,142135,47272,18135,42002,83041,23580,4018,967609,30699,37734,84037,87788,38469,14770,13140
43,"Beckley, WV Metro Area",115767,57566,57566,8449,8449,49117,49117,,13649,2651,15171,28056,9502,1374,350909,25161,11091,35074,22216,9344,5442,13220
44,"Bellingham, WA Metro Area",229247,99210,99210,,10416,88794,88794,88794,31639,10310,26375,42328,12731,3259,551795,31750,8997,36649,52633,34534,20117,13380
45,"Bend, OR Metro Area",197692,92781,92781,,16253,76528,76528,,22398,4672,18941,53581,12484,1964,529970,32496,9917,27455,51477,34219,21972,13460
46,"Billings, MT Metro Area",181667,85312,85312,,7204,78108,78108,78108,25203,8997,22643,27772,15736,8653,526022,32371,8456,40219,37971,27145,13233,13740
47,"Binghamton, NY Metro Area",238691,114010,114010,14710,14710,99300,99300,99300,33144,11784,25389,50670,20283,3767,701286,30519,15104,52068,51393,21983,20757,13780
48,"Birmingham-Hoover, AL Metro Area",1090435,489791,489791,61126,61126,428665,428665,428665,138383,33968,119573,218428,86250,24310,3044702,31257,76430,204633,226226,148043,94108,13820
49,"Bismarck, ND Metro Area",129115,59959,59959,7563,7563,52396,52396,52396,15472,4595,16637,16216,14484,7057,390359,37151,5435,21880,30848,20838,8380,13900
50,"Blacksburg-Christiansburg, VA Metro Area",166109,71724,71724,9610,9610,62114,62114,62114,26213,4032,23786,27315,13044,3111,415903,25288,7393,30618,26154,18420,18021,13980
51,"Bloomington, IL Metro Area",171517,72761,72761,7643,7643,65118,65118,65118,23590,8246,18701,24989,15660,4083,453538,35381,5784,23199,27695,32115,15752,14010
52,"Bloomington, IN Metro Area",169230,72239,72239,10010,10010,62229,62229,62229,23871,9227,18937,28035,10915,3430,412523,23314,6711,27219,24748,21528,19291,14020
53,"Bloomsburg-Berwick, PA Metro Area",83194,38700,38700,4962,4962,33738,33738,,9846,4949,8625,18120,5103,1318,231832,30558,5619,22918,13611,8891,6180,14100
55,"Boise City, ID Metro Area",749057,289371,289371,13690,13690,275681,275681,275681,77690,16528,57044,125512,66344,20104,1800292,31889,39175,116485,176869,109210,56919,14260
56,"Boston-Cambridge-Newton, MA-NH Metro Area",4873019,1985813,1985813,130050,130050,1855763,1855763,1855763,713642,305405,566583,632117,330224,91507,11379681,43217,267913,756101,715147,911046,782641,14460
57,"Boulder, CO Metro Area",326196,140554,140554,8700,8700,131854,131854,131854,50620,15841,35273,43797,29881,12095,866266,39663,12168,22028,42440,77590,63520,14500
58,"Bowling Green, KY Metro Area",176816,77504,77504,11186,11186,66318,66318,66318,25140,8821,18796,34331,12146,2695,453624,25685,14457,32312,30413,19718,13315,14540
61,"Bremerton-Silverdale-Port Orchard, WA Metro Area",271473,114895,114895,7370,7370,107525,107525,107525,32371,10232,27310,53718,18196,3555,696713,40535,7198,42413,74887,43853,22466,14740
62,"Bridgeport-Stamford-Norwalk, CT Metro Area",943332,375368,375368,34811,34811,340557,340557,340557,115509,44872,97716,112617,79929,30971,2350562,41874,63789,141693,124384,178372,139426,14860
63,"Brownsville-Harlingen, TX Metro Area",423163,154022,154022,24715,24715,129307,129307,129307,45236,12962,43726,69608,21475,3210,774022,21181,79672,65981,62858,29642,13507,15180
64,"Brunswick, GA Metro Area",119122,62209,62209,14479,14479,,47730,,13933,3107,15218,30279,9538,2044,353925,27121,11661,26783,26632,10464,9512,15260
65,"Buffalo-Cheektowaga, NY Metro Area",1127983,531436,531436,42485,42485,488951,488951,488951,167927,49182,134746,227939,85910,23008,3208126,32868,57573,228865,251734,151088,111866,15380
66,"Burlington, NC Metro Area",169509,72814,72814,8498,8498,64316,64316,64316,20249,6734,17772,36269,8172,2898,414258,30235,14521,34596,36068,20362,8575,15500
67,"Burlington-South Burlington, VT Metro Area",219433,99719,99719,9860,9860,89859,89859,89859,29911,11108,30827,37695,14430,3488,567678,36885,10844,35469,36755,38733,28167,15540
68,"California-Lexington Park, MD Metro Area",113510,46808,46808,6488,6488,40320,40320,40320,11155,1848,8954,19372,11543,4283,314906,40049,7259,25220,19544,14280,8718,15680
69,"Canton-Massillon, OH Metro Area",397520,180808,180808,15090,15090,165718,165718,165718,53485,12560,47775,83943,28692,4912,1129747,29251,23639,114087,82449,39839,19706,15940
70,"Cape Coral-Fort Myers, FL Metro Area",770577,408569,408569,121682,121682,286887,286887,286887,70272,28907,145116,176524,47334,6302,2192775,31181,64201,181330,169392,105918,63485,15980
71,"Cape Girardeau, MO-IL Metro Area",93397,45069,45069,,6855,38214,38214,,11755,2821,13040,18229,7636,2284,267409,,6362,19860,17569,11738,7446,16020
72,"Carbondale-Marion, IL Metro Area",137159,66120,66120,9602,9602,56518,56518,56518,20730,6561,19557,27118,7600,2501,363240,25845,8101,26690,31248,14485,11468,16060
73,"Carson City, NV Metro Area",55916,24348,24348,,,22703,22703,22703,9322,2040,6720,10849,3092,87,125756,31005,5372,10260,16307,6092,2546,16180
74,"Casper, WY Metro Area",79858,37358,37358,,4314,33044,33044,,9108,3201,9267,13932,7439,3404,226449,34223,3829,18647,20583,7628,3593,16220
75,"Cedar Rapids, IA Metro Area",273032,119008,119008,6635,6635,112373,112373,112373,30469,11410,31055,48647,19944,6557,732259,34979,10907,55056,63719,39638,17690,16300
77,"Chambersburg-Waynesboro, PA Metro Area",155027,66195,66195,5935,5935,60260,60260,60260,16034,2956,15243,31586,11103,4073,428967,32505,12971,48540,23864,14550,9564,16540
78,"Champaign-Urbana, IL Metro Area",226033,102141,102141,13441,13441,88700,88700,88700,40541,11895,28808,38862,15918,5075,592879,30179,8401,31934,33737,27077,32258,16580
79,"Charleston, WV Metro Area",257814,129856,129856,20404,20404,109452,109452,109452,31887,10771,39686,56352,16871,3984,768015,26955,21288,75605,46465,24347,17474,16620
80,"Charleston-North Charleston, SC Metro Area",802122,345889,345889,41913,41913,303976,303976,303976,98926,26401,74881,156484,67595,17829,2063375,36636,51102,133951,164103,131601,78028,16700
81,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2636883,1084126,1084126,101885,101885,982241,982241,982241,339537,84558,255900,456546,201722,68873,6578139,33671,183170,408250,552846,428345,221422,16740
82,"Charlottesville, VA Metro Area",218358,97342,97342,10068,10068,87274,87274,87274,30547,8151,20475,39359,21006,6447,622460,37234,12664,30425,32253,37547,35539,16820
83,"Chattanooga, TN-GA Metro Area",566153,251893,251893,28943,28943,222950,222950,222950,75749,21175,68840,108979,38526,8758,1472040,27473,50215,109302,120486,75332,41883,16860
84,"Cheyenne, WY Metro Area",99500,44385,44385,,,41739,41739,41739,13290,4031,10633,15676,8394,5149,290068,36805,3792,18995,24619,12038,8331,16940
85,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9457867,3869464,3869464,330290,330290,3539174,3539174,3539174,1258249,485809,1083185,1325256,665977,187570,22551742,36716,687662,1554216,1696881,1535426,1009032,16980
86,"Chico, CA Metro Area",219186,86212,86212,8561,8561,77651,77651,77651,31738,10646,26238,34696,11999,1459,448258,26387,16612,31262,52111,29686,14144,17020
88,"Cincinnati, OH-KY-IN Metro Area",2219750,951030,951030,72385,72385,878645,878645,878645,290393,107301,238881,350561,198772,41772,5945406,34914,125681,443316,397437,328315,201434,17140
90,"Clarksville, TN-KY Metro Area",311073,129944,129944,14749,14749,115195,115195,115195,47413,5195,32753,63160,20194,6066,774800,30839,16359,57265,68815,32806,18161,17300
92,"Cleveland, TN Metro Area",126801,52950,52950,,6014,46936,46936,46936,15548,3682,15027,25570,6138,2036,313184,25237,13780,30818,25065,13291,5405,17420
93,"Cleveland-Elyria, OH Metro Area",2048449,964496,964496,91870,91870,872626,872626,872626,312476,103765,242110,382933,181574,33825,5915166,31900,133560,410919,445133,277897,181285,17460
94,"Coeur d'Alene, ID Metro Area",165697,74620,74620,9337,9337,65283,65283,,20100,3911,18303,32097,14251,4799,460003,30321,7483,29628,50084,17885,10481,17660
95,"College Station-Bryan, TX Metro Area",268101,113390,113390,18793,18793,94597,94597,94597,45465,13031,27022,47263,20694,2769,614491,25948,19276,35335,38563,32709,24298,17780
96,"Colorado Springs, CO Metro Area",745791,293652,293652,17874,17874,275778,275778,275778,96744,25417,62226,94967,70230,36203,1906032,34925,23844,102098,173044,120899,71986,17820
97,"Columbia, MO Metro Area",208548,91533,91533,,11406,80127,80127,80127,31920,4532,24402,35694,18799,6038,566411,30305,9164,28449,33742,31281,24745,17860
98,"Columbia, SC Metro Area",839039,363035,363035,45037,45037,317998,317998,317998,102199,19873,77975,165164,71261,19334,2228082,30802,59585,143035,164235,117476,75152,17900
99,"Columbus, GA-AL Metro Area",322103,141612,141612,21884,21884,119728,119728,119728,52319,11176,33452,64966,25359,4369,842185,26601,26715,58251,79277,26990,22442,17980
100,"Columbus, IN Metro Area",83779,34678,34678,,4295,30383,30383,,8389,2868,7473,15591,7298,1161,213533,32425,5188,16835,14454,12387,8557,18020
101,"Columbus, OH Metro Area",2122271,877436,877436,60350,60350,817086,817086,817086,319126,91475,241160,331860,169886,27319,5249746,34706,119848,385046,385218,342684,200986,18140
106,"Corpus Christi, TX Metro Area",429024,179677,179677,26611,26611,153066,153066,153066,59399,19710,47738,76755,27907,2932,916642,27343,45023,89969,83901,40063,22818,18580
107,"Corvallis, OR Metro Area",93053,39107,39107,,,37378,37378,37378,15953,3581,7880,16059,7595,2054,227588,28857,1500,7404,15131,17504,15614,18700
108,"Crestview-Fort Walton Beach-Destin, FL Metro Area",284809,153439,153439,50867,50867,102572,102572,102572,31730,11807,36441,67986,29763,4650,855961,30189,15429,55427,66396,41228,20785,18880
110,"Cumberland, MD-WV Metro Area",97284,45883,45883,9453,9453,36430,36430,36430,10713,5279,11525,18769,7917,1616,276051,23361,6068,30848,18371,8519,4529,19060
111,"Dallas-Fort Worth-Arlington, TX Metro Area",7573136,2878819,2878819,243802,243802,2635017,2635017,2635017,1066239,442854,574855,1046706,604381,139830,16538771,35749,661761,1131846,1350447,1155466,632672,19100
112,"Dalton, GA Metro Area",144724,56624,56624,,6357,50267,50267,50267,14639,1849,15028,27647,8981,2133,332180,26457,25200,30190,24079,8217,5832,19140
113,"Danville, IL Metro Area",75758,36101,36101,4947,4947,31154,31154,,10097,3734,10577,16476,4191,789,208472,27900,5347,23069,17133,4095,2192,19180
115,"Daphne-Fairhope-Foley, AL Metro Area",223234,119425,119425,37100,37100,82325,82325,82325,17028,7620,23939,64549,17835,3799,718290,29894,15158,41884,51204,32781,18690,19300
116,"Davenport-Moline-Rock Island, IA-IL Metro Area",378923,170674,170674,15285,15285,155389,155389,155389,49105,17267,45879,70025,26947,7663,1039429,34839,23544,78485,88271,44094,26503,19340
117,"Dayton-Kettering, OH Metro Area",807611,370810,370810,38552,38552,332258,332258,332258,119846,33926,96034,160744,60989,11823,2242580,30664,47280,152414,187078,100031,67329,19430
118,"Decatur, AL Metro Area",152603,67771,67771,,8456,59315,59315,59315,14184,3673,12349,36815,10891,2777,417866,27394,15737,39236,28775,14534,7756,19460
119,"Decatur, IL Metro Area",104009,50316,50316,7575,7575,42741,42741,42741,13554,6446,16484,19192,6358,1320,302637,31205,4785,28800,23145,10386,5171,19500
120,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",668365,317977,317977,54062,54062,263915,263915,263915,72173,20531,93692,153404,39858,5573,1780683,28042,44288,167641,166484,78466,44388,19660
121,"Denver-Aurora-Lakewood, CO Metro Area",2967239,1216335,1216335,63878,63878,1152457,1152457,1152457,411852,178559,299233,350947,247581,108291,7410101,41987,162635,411836,550749,596198,354073,19740
122,"Des Moines-West Des Moines, IA Metro Area",699292,296946,296946,16890,16890,280056,280056,280056,86571,26424,86029,107042,55254,15880,1799064,38477,31536,115219,142612,123579,53680,19780
