,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state
1,Illinois,12671821,5388210,5388210,522204,522204,4866006,4866006,4866006,1654139,623632,1531109,1959541,884454,239648,31700046,35125,882637,2255611,2447474,1886240,1222732,17
2,Georgia,10617423,4378350,4378350,525636,525636,3852714,3852714,3852714,1382142,335804,941188,1849323,862852,321237,27203174,31104,856025,1939945,1982684,1410395,891173,13
3,Idaho,1787065,751113,751113,95254,95254,655859,655859,655859,186472,47207,172465,303953,149947,63651,4655346,29567,99906,305274,429162,220189,116466,16
4,Hawaii,1415872,550328,550328,85029,85029,465299,465299,465299,185339,67629,145365,190809,83633,28250,2671093,36789,75978,273421,312060,219979,115230,15
5,Indiana,6732219,2921115,2921115,323350,323350,2597765,2597765,2597765,797282,261879,741070,1279163,478498,116201,17873350,30886,468083,1526825,1294281,777771,435055,18
6,Iowa,3155070,1418600,1418600,131379,131379,1287221,1287221,1287221,379341,126873,391008,545270,251143,77753,8757950,32662,156481,658822,685448,420199,202054,19
7,Kansas,2913314,1288430,1288430,150101,150101,1138329,1138329,1138329,381763,117235,335715,473040,246913,88772,8072464,32209,157757,504035,603800,414851,237638,20
8,Kentucky,4467673,2006335,2006335,257603,257603,1748732,1748732,1748732,576908,168552,529192,894391,300744,80464,11874332,27448,390653,1012643,879223,453040,312883,21
9,Louisiana,4648794,2089824,2089824,348748,348748,1741076,1741076,1741076,583424,179953,500969,1010967,317406,48165,11811005,27042,440844,1066026,849056,503947,280328,22
10,Maine,1344212,750964,750964,177346,177346,573618,573618,573618,159499,86820,221763,290418,100458,30378,4245841,31267,67314,311108,283731,205722,123277,23
11,Maryland,6045680,2470307,2470307,243540,243540,2226767,2226767,2226767,738599,250473,534804,894391,540475,201104,16072000,41360,402152,1030636,1040840,911781,798449,24
12,Massachusetts,6892503,2928818,2928818,278138,278138,2650680,2650680,2650680,1002933,415587,812233,1014097,482868,127856,16821371,40365,420941,1158066,1089826,1197208,984535,25
13,Michigan,9986857,4629605,4629605,659725,659725,3969880,3969880,3969880,1128685,415757,1166406,2027027,762887,180758,27995821,30896,596287,2005981,2221564,1252685,818110,26
14,Minnesota,5639632,2477515,2477515,254947,254947,2222568,2222568,2222568,624172,283951,625127,805202,536735,168100,15654694,38224,245690,939997,1228299,942830,490396,27
