,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,msa
2,"Abilene, TX Metro Area",158400,,61750,75856,41350,35659,-888888888,134883,10180
4,"Aguadilla-Isabela, PR Metro Area",287060,,101568,108116,49513,82805,-888888888,246271,10380
5,"Akron, OH Metro Area",685097,685097,285647,269984,141888,178763,-888888888,579116,10420
7,"Albany, GA Metro Area",141957,,54128,57570,34411,34601,-888888888,116771,10500
8,"Albany-Lebanon, OR Metro Area",127316,,49407,49229,28785,32990,-888888888,105687,10540
9,"Albany-Schenectady-Troy, NY Metro Area",850456,850456,362502,347515,170336,221555,-888888888,731319,10580
11,"Albuquerque, NM Metro Area",902139,902139,354359,364806,197754,221224,-888888888,739261,10740
12,"Alexandria, LA Metro Area",145255,,55591,59061,36600,34140,-888888888,120165,10780
13,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",818268,818268,322301,314463,175237,218169,-888888888,689845,10900
14,"Altoona, PA Metro Area",118813,,52497,42341,24620,33796,-888888888,100095,11020
15,"Amarillo, TX Metro Area",259257,,98606,111823,69527,54856,-888888888,207705,11100
16,"Ames, IA Metro Area",111389,,50253,64444,20939,23141,-888888888,104687,11180
17,"Anchorage, AK Metro Area",387004,,137934,168714,97784,70920,-888888888,308427,11260
18,"Ann Arbor, MI Metro Area",347058,,141680,176401,67499,74214,-888888888,307754,11460
19,"Anniston-Oxford, AL Metro Area",110599,,44636,43889,24474,28966,-888888888,92308,11500
20,"Appleton, WI Metro Area",234195,,94937,92048,55489,51561,-888888888,188713,11540
21,"Arecibo, PR Metro Area",173625,,65208,64615,31364,49293,-888888888,147997,11640
22,"Asheville, NC Metro Area",453064,,193451,164328,84305,142133,-888888888,388709,11700
26,"Baton Rouge, LA Metro Area",831474,831474,305441,360213,199685,180306,-888888888,679750,12940
27,"Battle Creek, MI Metro Area",130678,,53827,50297,30154,33288,-888888888,108281,12980
28,"Athens-Clarke County, GA Metro Area",199901,,82655,99537,42625,37346,-888888888,174296,12020
29,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5915478,5915478,2189294,2494224,1450990,1090846,-888888888,4733233,12060
30,"Atlantic City-Hammonton, NJ Metro Area",258409,,101975,95836,55495,69587,-888888888,213571,12100
32,"Auburn-Opelika, AL Metro Area",158675,,64448,79459,34720,29278,-888888888,133615,12220
33,"Augusta-Richmond County, GA-SC Metro Area",592891,592891,211969,241812,140807,138924,-888888888,485716,12260
35,"Austin-Round Rock-Georgetown, TX Metro Area",2179655,2179655,818084,1038905,504773,362821,-888888888,1779784,12420
36,"Bakersfield, CA Metro Area",872223,872223,272888,388291,259120,147531,-888888888,665025,12540
37,"Baltimore-Columbia-Towson, MD Metro Area",2732343,2732343,1062901,1106900,609673,638619,-888888888,2258125,12580
38,"Bangor, ME Metro Area",144971,,64096,58744,26834,40925,-888888888,128734,12620
39,"Barnstable Town, MA Metro Area",210469,,96509,59454,31677,87485,-888888888,185539,12700
40,"Bay City, MI Metro Area",102250,,44887,35925,20615,29312,-888888888,84877,13020
41,"Beaumont-Port Arthur, TX Metro Area",373038,,142135,154699,95113,86680,-888888888,308004,13140
43,"Beckley, WV Metro Area",111619,,49117,40008,23780,34251,-888888888,94552,13220
44,"Bellingham, WA Metro Area",223451,,88794,96948,44070,58236,-888888888,189044,13380
45,"Bend, OR Metro Area",195748,,76528,72411,39049,55345,-888888888,163583,13460
46,"Billings, MT Metro Area",177540,,78108,67274,41523,46326,-888888888,145368,13740
47,"Binghamton, NY Metro Area",228652,,99300,91290,46726,64798,-888888888,197457,13780
48,"Birmingham-Hoover, AL Metro Area",1070169,1070169,428665,428514,248870,249467,-888888888,868339,13820
49,"Bismarck, ND Metro Area",125624,,52396,51715,29499,31056,-888888888,102707,13900
50,"Blacksburg-Christiansburg, VA Metro Area",151953,,62114,80729,26300,33908,-888888888,142395,13980
51,"Bloomington, IL Metro Area",161595,,65118,79460,36449,32608,-888888888,139016,14010
52,"Bloomington, IN Metro Area",152425,,62229,87121,27902,33977,-888888888,144550,14020
53,"Bloomsburg-Berwick, PA Metro Area",78162,,33738,31584,15294,22940,-888888888,69824,14100
55,"Boise City, ID Metro Area",733339,733339,275681,305226,185276,159667,-888888888,585076,14260
56,"Boston-Cambridge-Newton, MA-NH Metro Area",4712847,4712847,1855763,2015158,953269,1096277,-888888888,4033115,14460
57,"Boulder, CO Metro Area",313858,,131854,145977,61507,67678,-888888888,272579,14500
58,"Bowling Green, KY Metro Area",168570,,66318,77229,42008,33503,-888888888,140134,14540
61,"Brunswick, GA Metro Area",117813,,47730,42546,24140,32751,-888888888,98488,15260
62,"Bremerton-Silverdale-Port Orchard, WA Metro Area",262465,,107525,108657,54938,67586,-888888888,222375,14740
63,"Bridgeport-Stamford-Norwalk, CT Metro Area",926326,926326,340557,350973,209662,217555,-888888888,758116,14860
64,"Brownsville-Harlingen, TX Metro Area",421078,,129307,171197,126621,78902,-888888888,311060,15180
65,"Buffalo-Cheektowaga, NY Metro Area",1097469,1097469,488951,427604,226971,293548,-888888888,926153,15380
66,"Burlington, NC Metro Area",165387,,64316,66476,37366,38780,-888888888,135963,15500
67,"Burlington-South Burlington, VT Metro Area",209074,,89859,94373,40723,50276,-888888888,184258,15540
68,"California-Lexington Park, MD Metro Area",110699,,40320,46004,27081,24884,-888888888,90360,15680
69,"Canton-Massillon, OH Metro Area",386953,,165718,140729,84549,109037,-888888888,321684,15940
70,"Cape Coral-Fort Myers, FL Metro Area",761876,761876,286887,239071,133898,283535,-888888888,650385,15980
71,"Cheyenne, WY Metro Area",96763,,41739,38807,22983,23441,-888888888,79009,16940
72,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9299008,9299008,3539174,3844853,2129677,2017587,-888888888,7577566,16980
73,"Cape Girardeau, MO-IL Metro Area",89888,,38214,36481,19074,23275,-888888888,76764,16020
74,"Carbondale-Marion, IL Metro Area",129126,,56518,56456,27367,34073,-888888888,113230,16060
75,"Carson City, NV Metro Area",53632,,22703,20203,11357,15830,-888888888,45637,16180
76,"Casper, WY Metro Area",78004,,33044,31740,19356,17266,-888888888,-999999999,16220
77,"Cedar Rapids, IA Metro Area",265737,,112373,104165,62895,63120,-888888888,217380,16300
79,"Chambersburg-Waynesboro, PA Metro Area",152960,,60260,54041,34235,42477,-888888888,124489,16540
80,"Champaign-Urbana, IL Metro Area",210533,,88700,112134,42973,43103,-888888888,188006,16580
81,"Charleston, WV Metro Area",253803,,109452,88837,54297,72658,-888888888,210594,16620
82,"Charleston-North Charleston, SC Metro Area",782494,782494,303976,331653,174188,171363,-888888888,644431,16700
83,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2593107,2593107,982241,1070372,616972,521243,-888888888,2092388,16740
