,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019
0,10180,"Abilene, TX Metro Area",158400,61750,75856,41350,35659,134883,171795,72052,72052,10302.0,61750.0,61750.0,24309,7823,18617,33259,9779,994,392680,26622.0,10996.0,35113.0,36815.0,17779.0,8521.0,6812477.0
2,10420,"Akron, OH Metro Area",685097,285647,269984,141888,178763,579116,703479,316217,316217,30570.0,285647.0,285647.0,96799,31557,80301,128543,60066,11383,1956297,30842.0,37410.0,157491.0,138951.0,98114.0,57275.0,33086775.0
3,10500,"Albany, GA Metro Area",141957,54128,57570,34411,34601,116771,147384,66066,66066,11938.0,54128.0,54128.0,25108,4366,18290,31727,9588,1167,377460,24115.0,16748.0,28351.0,32968.0,9354.0,9765.0,5699287.0
4,10540,"Albany-Lebanon, OR Metro Area",127316,49407,49229,28785,32990,105687,129749,51391,51391,32656.16304347826,49407.0,49407.0,16114,4017,13542,23893,6694,1994,286255,30608.0,11121.0,24269.0,38274.0,11093.0,5969.0,4692052.0
5,10580,"Albany-Schenectady-Troy, NY Metro Area",850456,362502,347515,170336,221555,731319,880381,412316,412316,49814.0,362502.0,362502.0,129886,49219,115193,147539,76377,18014,2457566,37442.0,46007.0,155441.0,170380.0,134620.0,108143.0,56461199.0
6,10740,"Albuquerque, NM Metro Area",902139,354359,364806,197754,221224,739261,914480,393075,393075,38716.0,354359.0,354359.0,114334,37589,90249,176902,66209,10637,2230145,29861.0,68124.0,159577.0,196709.0,117647.0,93545.0,39250733.0
7,10780,"Alexandria, LA Metro Area",145255,55591,59061,36600,34140,120165,152037,68222,68222,12631.0,55591.0,55591.0,18682,3996,17941,33508,10780,1790,380488,26713.0,14846.0,39044.0,30060.0,12427.0,5391.0,5575697.0
8,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",818268,322301,314463,175237,218169,689845,844052,351530,351530,29229.0,322301.0,322301.0,105481,32784,74967,154071,67847,15450,2202810,32273.0,54074.0,209837.0,152582.0,113677.0,62143.0,41912704.0
9,11020,"Altoona, PA Metro Area",118813,52497,42341,24620,33796,100095,121829,57025,57025,4528.0,52497.0,52497.0,15409,4268,14272,28021,7802,1776,356621,29501.0,7394.0,38805.0,21457.0,13087.0,7258.0,5647210.0
10,11100,"Amarillo, TX Metro Area",259257,98606,111823,69527,54856,207705,269447,110895,110895,32656.16304347826,98606.0,98606.0,34958,12324,24202,56121,12564,3303,616843,29453.0,23557.0,48494.0,57416.0,29445.0,14153.0,12698215.0
11,11180,"Ames, IA Metro Area",111389,50253,64444,20939,23141,104687,123351,53393,53393,3140.0,50253.0,50253.0,19454,5178,15070,20418,10323,1502,318830,30115.0,2391.0,15263.0,23368.0,19355.0,13617.0,5837188.0
12,11260,"Anchorage, AK Metro Area",387004,137934,168714,97784,70920,308427,396317,161406,161406,23472.0,137934.0,137934.0,48764,18774,40348,61182,27002,5937,859751,36760.0,13591.0,71591.0,89367.0,54360.0,31977.0,23244564.0
13,11460,"Ann Arbor, MI Metro Area",347058,141680,176401,67499,74214,307754,367601,152272,152272,10592.0,141680.0,141680.0,53148,18618,40328,51196,30752,9091,925915,36442.0,10904.0,33141.0,58757.0,60153.0,69970.0,22430838.0
14,11500,"Anniston-Oxford, AL Metro Area",110599,44636,43889,24474,28966,92308,113605,53809,53809,9173.0,44636.0,44636.0,13157,2541,13652,26795,8733,1530,324409,24513.0,12195.0,27277.0,24355.0,9082.0,6175.0,4050073.0
