,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019
0,Mississippi,2877843,2877843,1100229,1163284,698420,677549,2360508,2976149,1339047,1339047,238818,238818,1100229,1100229,1100229,359578,76970,293270,707638,202281,35008,7823723,24519.0,290917.0,598609.0,648387.0,270712.0,171039.0,101525.1
1,Missouri,5953025,5953025,2458337,2373658,1372695,1474792,4918035,6137428,2819334,2819334,360997,360997,2458337,2458337,2458337,808318,263273,768124,1160174,450725,117230,16682277,30899.0,391815.0,1308859.0,1234207.0,775808.0,495473.0,290842.0
2,Montana,1042682,1042682,437651,403963,226524,286567,869402,1068778,519938,519938,82287,82287,437651,437651,437651,136195,51556,142791,188549,85618,35856,3065761,30253.0,42682.0,211079.0,239041.0,171309.0,77839.0,46788.0
3,Nebraska,1877629,1877629,771444,765375,475096,434707,1509290,1934408,851167,851167,79723,79723,771444,771444,771444,260074,92928,216376,310596,160291,57246,5423025,33864.0,101272.0,326389.0,421522.0,277159.0,145428.0,118286.5
4,Nevada,3037199,3037199,1143557,1226893,690737,683072,2465233,3080156,1285681,1285681,142124,142124,1143557,1143557,1143557,496039,132614,334909,481099,233777,60203,6869069,32130.0,280915.0,593417.0,713215.0,355837.0,193082.0,156828.8
5,New Hampshire,1316495,1316495,541396,501765,256020,357103,1137316,1359711,642298,642298,100902,100902,541396,541396,541396,157230,70390,196937,238088,97020,22459,3720438,37094.0,65672.0,275105.0,270736.0,224636.0,143601.0,77126.5
6,New Jersey,8712974,8712974,3286264,3383802,1938024,2078439,7168432,8882190,3641854,3641854,355590,355590,3286264,3286264,3286264,1204466,508769,926496,1169699,715757,213448,21671491,40784.0,599619.0,1666321.0,1373524.0,1555781.0,995984.0,561842.8
7,New Mexico,2053305,2053305,793420,817379,473850,518073,1678187,2096829,948470,948470,155050,155050,793420,793420,793420,253368,79635,241162,437958,139971,21669,5214389,26531.0,201328.0,376390.0,453672.0,221281.0,173317.0,94872.3
8,New York,18932499,18932499,7446812,7748123,4022096,4577889,15895561,19453561,8404205,8404205,957393,957393,7446812,7446812,7446812,3461296,1565022,2260183,2631314,1149878,382437,44633949,36165.0,1694230.0,3524192.0,3280094.0,2898440.0,2267778.0,1494736.4
9,North Carolina,10199239,10199239,4046348,4116518,2293972,2409072,8457219,10488084,4748148,4748148,701800,701800,4046348,4046348,4046348,1403639,324296,1191424,2205442,751067,198142,27845058,30322.0,818924.0,1839042.0,2207926.0,1471420.0,849765.0,514624.9
10,North Dakota,738814,738814,323519,321363,176706,167040,602982,762062,379974,379974,56455,56455,323519,323519,323519,125108,42053,111266,115694,70654,31497,2293389,35963.0,33019.0,134432.0,183527.0,108527.0,44870.0,56247.0
