GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
998,United States (Metropolitan Portion),11890879246,12094532076,12430913001,12905547481,13379989762,13742173042,13971948489,13925597790,13529960333,13849238270,14039945397,14332171020,14539458917,14910392024,15409410629,15708326626,16101633406,16592844189,16944454034
10180,"Abilene, TX (Metropolitan Statistical Area)",4855162,4904254,4976313,5108723,5203669,5674123,5910760,6026881,5884202,6081119,6105549,6285840,6305684,6397997,6306160,6223973,6302350,6621461,6812477
10420,"Akron, OH (Metropolitan Statistical Area)",27998310,29126178,29848503,30460822,31133589,31179631,31559146,31322176,29424800,30188121,30330321,30484007,30779379,31524768,31885693,31967906,32247045,32864318,33086775
10500,"Albany, GA (Metropolitan Statistical Area)",5477771,5559242,5600882,5664402,5808364,5791172,5670769,5552281,5455651,5329949,5415550,5436011,5401892,5333508,5304650,5392124,5383456,5461823,5699287
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3387444,3595526,3436210,3678151,3744119,4101737,3890943,3738170,3660753,3586428,3630165,3642763,3716414,3746019,4023744,4237331,4257257,4548841,4692052
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",42277660,42843895,44112948,44981479,45542830,46912419,47044714,47686361,48646860,48811034,48853291,49077007,49689696,50315739,51588795,53029656,54313372,55124291,56461199
10740,"Albuquerque, NM (Metropolitan Statistical Area)",29908382,30207908,33167134,37651402,37558482,38076130,37472523,37153620,38443811,37639901,37227725,37058169,35982789,36867671,37411651,38016623,37829268,38477142,39250733
10780,"Alexandria, LA (Metropolitan Statistical Area)",4725385,4881177,4912529,5145405,5411335,5508103,5294986,5326193,5557942,5647050,5633630,5545476,5485821,5429779,5328832,5399004,5456592,5534140,5575697
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42204744,42128399,38204228,35120206,35187232,35263677,36862603,37198009,36101333,37141059,37290785,37188076,37684618,38333541,39226434,40062532,40190685,40543564,41912704
11020,"Altoona, PA (Metropolitan Statistical Area)",4602026,4584389,4704467,4863727,5031093,5216891,5180368,5191181,5108856,5194036,5142424,5155376,5204384,5247661,5302807,5337374,5467576,5489056,5647210
11100,"Amarillo, TX (Metropolitan Statistical Area)",9566199,9797185,9922136,10040062,10073006,10700493,11040520,11169736,11155310,11528681,11587750,11481732,11622541,11893843,12298576,12236673,12248498,12631603,12698215
11180,"Ames, IA (Metropolitan Statistical Area)",4003940,4174367,4329448,4495257,4585825,4724074,4806873,4978313,4801482,4811627,5029513,5288511,5545828,5691213,5664869,5593939,5690987,5837047,5837188
11260,"Anchorage, AK (Metropolitan Statistical Area)",17708247,17965935,18363022,18703731,19424054,19532909,19844680,20794823,21656391,22568812,22963578,22918799,22364689,22433982,23444954,23311642,22923247,23080044,23244564
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",18972295,20060248,20430827,20225953,20602048,20044419,20435543,19300104,17890027,18452057,18652174,19040628,19253732,19538254,20387939,20953441,21512047,22224950,22430838
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3453799,3564012,3672508,3957154,4135123,4244878,4395303,4454594,4239166,4383624,4225872,4185918,4030503,3897498,3832845,3861691,3882048,3955983,4050073
11540,"Appleton, WI (Metropolitan Statistical Area)",9567748,9580043,9856432,10159373,10415584,10555787,10710157,10505445,10230421,10399394,10720622,11060961,10906226,11306578,11918485,12312333,12508385,12891169,13178332
11700,"Asheville, NC (Metropolitan Statistical Area)",13130580,13555644,13751277,14160696,14561655,15303636,15035709,15034512,14377112,14974081,15176948,14987728,15339894,15809348,16218804,16646289,17334723,18059998,18603932
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",6580240,6681766,7012776,7154542,7285040,7386724,7487545,7514082,7457059,7491061,7464407,7732780,7881463,8072774,8346843,8480563,8943500,9306104,9151049
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",255588329,258265376,265862457,279097237,291832447,292848540,293958262,285603018,272399465,277407869,283393539,287373839,293252357,306798330,321771292,336828238,351449177,366280393,371826639
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",13501069,13961218,14157864,14261004,14691619,15661056,15617189,15610448,13826638,13429697,13861288,13658072,13565865,13243261,12809236,12598505,12414931,12410061,12593490
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3019080,3173330,3325200,3675810,3799790,3930987,4085819,4064022,4014291,4104610,4465038,4616562,4700023,4731165,4926084,5086943,5174382,5219694,5265738
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",19518053,19719487,20386767,20791083,20718120,20957362,21853913,22217958,21808117,22223811,22464756,22533628,22451923,22595351,23477315,23777791,24267141,24839850,25427997
