,Unnamed: 0,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019,score_sdgi,_merge
1,2,10420,"Akron, OH Metro Area",685097,285647,269984,141888,178763,579116,703479,316217,316217,30570.0,285647.0,285647.0,96799,31557,80301,128543,60066,11383,1956297,30842.0,37410.0,157491.0,138951.0,98114.0,57275.0,33086775.0,51.0,both
4,5,10580,"Albany-Schenectady-Troy, NY Metro Area",850456,362502,347515,170336,221555,731319,880381,412316,412316,49814.0,362502.0,362502.0,129886,49219,115193,147539,76377,18014,2457566,37442.0,46007.0,155441.0,170380.0,134620.0,108143.0,56461199.0,59.0,both
5,6,10740,"Albuquerque, NM Metro Area",902139,354359,364806,197754,221224,739261,914480,393075,393075,38716.0,354359.0,354359.0,114334,37589,90249,176902,66209,10637,2230145,29861.0,68124.0,159577.0,196709.0,117647.0,93545.0,39250733.0,50.0,both
7,8,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",818268,322301,314463,175237,218169,689845,844052,351530,351530,29229.0,322301.0,322301.0,105481,32784,74967,154071,67847,15450,2202810,32273.0,54074.0,209837.0,152582.0,113677.0,62143.0,41912704.0,49.0,both
16,18,12940,"Baton Rouge, LA Metro Area",831474,305441,360213,199685,180306,679750,854884,372293,372293,66852.0,305441.0,305441.0,92555,33891,75754,186143,59908,9509,2102885,30721.0,69092.0,183416.0,156158.0,103377.0,51851.0,53347706.0,30.0,both
19,21,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5915478,2189294,2494224,1450990,1090846,4733233,6018744,2364761,2364761,175467.0,2189294.0,2189294.0,782172,215309,459156,877913,529063,244242,15246399,35603.0,403834.0,939218.0,1073316.0,995590.0,608746.0,371826639.0,49.0,both
22,24,12260,"Augusta-Richmond County, GA-SC Metro Area",592891,211969,241812,140807,138924,485716,610648,262287,262287,50318.0,211969.0,211969.0,66036,14260,59290,118659,52861,14804,1625268,27569.0,44445.0,126515.0,128391.0,72878.0,40213.0,25427997.0,40.0,both
23,25,12420,"Austin-Round Rock-Georgetown, TX Metro Area",2179655,818084,1038905,504773,362821,1779784,2227083,882659,882659,64575.0,818084.0,818084.0,346604,141906,187493,324433,167661,34991,4776313,40056.0,144966.0,290121.0,376661.0,445551.0,250408.0,143075741.0,62.0,both
24,26,12540,"Bakersfield, CA Metro Area",872223,272888,388291,259120,147531,665025,900202,302927,302927,30039.0,272888.0,272888.0,112496,21469,74239,135915,55747,8047,1600849,25283.0,130580.0,155083.0,171997.0,64784.0,29512.0,51416782.0,38.0,both
25,27,12580,"Baltimore-Columbia-Towson, MD Metro Area",2732343,1062901,1106900,609673,638619,2258125,2800053,1169780,1169780,106879.0,1062901.0,1062901.0,357247,120055,267332,447473,234622,76725,7588664,41340.0,163020.0,476832.0,491359.0,448825.0,366794.0,188615454.0,50.0,both
